"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject","Program Type",Outcome
2016-2017,ALABAMA,0101410,"Eufaula City",,,814,"Chronic absenteeism table",8,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101440,"Fairfield City",,,814,"Chronic absenteeism table",140,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101470,"Fayette County",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101530,"Florence City",,,814,"Chronic absenteeism table",71,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101590,"Franklin County",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101620,"Gadsden City",,,814,"Chronic absenteeism table",21,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101640,"Geneva City",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101660,"Geneva County",,,814,"Chronic absenteeism table",7,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101680,"Greene County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101690,"Guntersville City",,,814,"Chronic absenteeism table",45,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101710,"Hale County",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101720,"Haleyville City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101730,"Hartselle City",,,814,"Chronic absenteeism table",18,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101740,"Henry County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101760,"Homewood City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101770,"Houston County",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101800,"Huntsville City",,,814,"Chronic absenteeism table",138,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101830,"Jackson County",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101860,"Jacksonville City",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101890,"Jasper City",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101920,"Jefferson County",,,814,"Chronic absenteeism table",40,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101950,"Lamar County",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101980,"Lanett City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102010,"Lauderdale County",,,814,"Chronic absenteeism table",40,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102040,"Lawrence County",,,814,"Chronic absenteeism table",60,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102070,"Lee County",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102100,"Limestone County",,,814,"Chronic absenteeism table",24,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102130,"Linden City",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102160,"Lowndes County",,,814,"Chronic absenteeism table",35,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102190,"Macon County",,,814,"Chronic absenteeism table",8,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102220,"Madison County",,,814,"Chronic absenteeism table",85,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102310,"Marion County",,,814,"Chronic absenteeism table",33,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102350,"Midfield City",,,814,"Chronic absenteeism table",41,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102370,"Mobile County",,,814,"Chronic absenteeism table",2095,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102400,"Monroe County",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102430,"Montgomery County",,,814,"Chronic absenteeism table",452,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102480,"Morgan County",,,814,"Chronic absenteeism table",31,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102520,"Muscle Shoals City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102550,"Oneonta City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102580,"Opelika City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102610,"Opp City",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102635,"Oxford City",,,814,"Chronic absenteeism table",27,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102640,"Ozark City",,,814,"Chronic absenteeism table",25,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102650,"Pell City",,,814,"Chronic absenteeism table",15,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102670,"Perry County",,,814,"Chronic absenteeism table",48,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102700,"Phenix City",,,814,"Chronic absenteeism table",25,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102730,"Pickens County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102760,"Piedmont City",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102790,"Pike County",,,814,"Chronic absenteeism table",20,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102820,"Randolph County",,,814,"Chronic absenteeism table",16,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102880,"Russell County",,,814,"Chronic absenteeism table",12,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102910,"Russellville City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102940,"Scottsboro City",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0102970,"Selma City",,,814,"Chronic absenteeism table",57,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103000,"Sheffield City",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103030,"Shelby County",,,814,"Chronic absenteeism table",94,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103062,"St Clair County",,,814,"Chronic absenteeism table",39,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103090,"Sumter County",,,814,"Chronic absenteeism table",11,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103120,"Sylacauga City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103150,"Talladega City",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103180,"Talladega County",,,814,"Chronic absenteeism table",26,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103210,"Tallapoosa County",,,814,"Chronic absenteeism table",8,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103240,"Tallassee City",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103270,"Tarrant City",,,814,"Chronic absenteeism table",14,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103300,"Thomasville City",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103330,"Troy City",,,814,"Chronic absenteeism table",16,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103360,"Tuscaloosa City",,,814,"Chronic absenteeism table",102,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103390,"Tuscaloosa County",,,814,"Chronic absenteeism table",75,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103420,"Tuscumbia City",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103430,"Vestavia Hills City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103450,"Walker County",,,814,"Chronic absenteeism table",84,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103480,"Washington County",,,814,"Chronic absenteeism table",22,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103510,"Wilcox County",,,814,"Chronic absenteeism table",28,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103540,"Winfield City",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0103580,"Winston County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200001,"Lower Kuskokwim School District",,,814,"Chronic absenteeism table",19,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200003,"Lower Yukon School District",,,814,"Chronic absenteeism table",13,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200020,"Bering Strait School District",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200050,"Alaska Gateway School District",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200060,"Cordova City School District",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200100,"Delta-Greely School District",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200150,"Ketchikan Gateway Borough School District",,,814,"Chronic absenteeism table",16,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200180,"Anchorage School District",,,814,"Chronic absenteeism table",1339,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200210,"Juneau Borough School District",,,814,"Chronic absenteeism table",65,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200240,"Sitka School District",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200300,"Hoonah City School District",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200360,"Kake City School District",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200390,"Kenai Peninsula Borough School District",,,814,"Chronic absenteeism table",168,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200480,"Kodiak Island Borough School District",,,814,"Chronic absenteeism table",7,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200510,"Matanuska-Susitna Borough School District",,,814,"Chronic absenteeism table",336,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200540,"Nenana City School District",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200570,"Nome Public Schools",,,814,"Chronic absenteeism table",8,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200600,"Fairbanks North Star Borough School District",,,814,"Chronic absenteeism table",309,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200610,"North Slope Borough School District",,,814,"Chronic absenteeism table",6,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200660,"Petersburg Borough School District",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALASKA,0200780,"Valdez City School District",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400001,"Cave Creek Unified District",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400003,"Chino Valley Unified District",,,814,"Chronic absenteeism table",70,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400004,"Clarkdale-Jerome Elementary District",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400016,"Center for Academic Success  Inc.",,,814,"Chronic absenteeism table",84,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400022,"Vernon Elementary District",,,814,"Chronic absenteeism table",8,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400033,"Boys & Girls Clubs of the East Valley dba Mesa Arts Academy",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400047,"Salt River Pima-Maricopa  Community Schools",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400052,"Espiritu Community Development Corp.",,,814,"Chronic absenteeism table",7,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400055,"EduPreneurship  Inc.",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400070,"Tempe Preparatory Academy",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400081,"Presidio School",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400082,"Colorado River Union High School District",,,814,"Chronic absenteeism table",44,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400099,"Liberty High School",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400102,"Friendly House  Inc.",,,814,"Chronic absenteeism table",23,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400103,"Ombudsman Educational Services Ltd. a subsidiary of Educ 1",,,814,"Chronic absenteeism table",70,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400109,"Phoenix Advantage Charter School  Inc.",,,814,"Chronic absenteeism table",17,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400112,"American Leadership Academy  Inc.",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400128,"Academy Of Excellence  Inc.",,,814,"Chronic absenteeism table",30,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400149,"Kaizen Education Foundation dba El Dorado High School",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400150,"Mexicayotl Academy  Inc.",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400151,"New Horizon School for the Performing Arts",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400153,"Phoenix School of Academic Excellence The",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400157,"Edkey  Inc. - Sequoia Choice Schools",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400159,"Tucson Preparatory School",,,814,"Chronic absenteeism table",32,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400190,"Liberty Traditional Charter School",,,814,"Chronic absenteeism table",6,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400191,"Fit Kids  Inc. dba Champion Schools",,,814,"Chronic absenteeism table",31,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400209,"Park View School  Inc.",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400212,"Benson Unified School District",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400219,"Career Success Schools",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400221,"Kaizen Education Foundation dba South Pointe Elementary Scho",,,814,"Chronic absenteeism table",30,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400227,"Kaizen Education Foundation dba South Pointe Junior High Sch",,,814,"Chronic absenteeism table",15,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400239,"P.L.C. Charter Schools",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400241,"Paragon Management  Inc.",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400244,"Edkey  Inc. - Sequoia Charter School",,,814,"Chronic absenteeism table",31,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400246,"Edkey  Inc. - Sequoia Village School",,,814,"Chronic absenteeism table",6,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400248,"Telesis Center for Learning  Inc.",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400254,"Southern Arizona Community Academy  Inc.",,,814,"Chronic absenteeism table",1,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400259,"Southgate Academy  Inc.",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400276,"Academy with Community Partners  Inc",,,814,"Chronic absenteeism table",16,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400288,"Premier Charter High School",,,814,"Chronic absenteeism table",34,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400290,"Pan-American Elementary Charter",,,814,"Chronic absenteeism table",16,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400295,"Kingman Unified School District",,,814,"Chronic absenteeism table",173,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400310,"Calibre Academy",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400311,"E-Institute Charter Schools  Inc.",,,814,"Chronic absenteeism table",12,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400318,"Aprender Tucson",,,814,"Chronic absenteeism table",17,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400340,"Noah Webster Schools - Mesa",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400350,"PEAK School Inc.  The",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400351,"Kaizen Education Foundation dba Vista Grove Preparatory Acad",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400352,"American Charter Schools Foundation d.b.a. Estrella High Sch",,,814,"Chronic absenteeism table",13,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400353,"American Charter Schools Foundation d.b.a. Peoria Accelerate",,,814,"Chronic absenteeism table",38,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400354,"American Charter Schools Foundation d.b.a. Sun Valley High S",,,814,"Chronic absenteeism table",14,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400355,"American Charter Schools Foundation d.b.a. West Phoenix High",,,814,"Chronic absenteeism table",41,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ARIZONA,0400356,"Nosotros  Inc",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
